name,0,,,
嘉峪关市,7,0937,98.288623,39.773231,镜铁区体育大道1号(雄关广场东侧)
金昌市,7,0935,102.187968,38.52149,新华路82号
白银市,7,0943,104.138865,36.545103,市统办楼
兰州市,7,0931,103.826678,36.060377,中央广场1号
酒泉市,7,0937,98.494308,39.733404,富康路29号
大兴安岭地区,7,0457,124.139595,50.408735,景观大道
黑河市,7,0456,127.528286,50.244878,花园街道通江路2号
伊春市,7,0458,129.429117,47.413074,花园街1号
齐齐哈尔市,7,0452,123.91812,47.354214,新明大街27号
佳木斯市,7,0454,130.318899,46.800002,长安西路816号
鹤岗市,7,0468,130.297687,47.350659,友谊路1号
绥化市,7,0455,126.968697,46.654153,迎宾路2号
双鸭山市,7,0469,131.141563,46.676157,双福路
鸡西市,7,0467,130.969333,45.295075,红旗路18号
七台河市,7,0464,131.003005,45.771189,大同街47号
哈尔滨市,8,0451,126.662022,45.742247,中山路202号
牡丹江市,7,0453,129.632971,44.551511,卧龙街
大庆市,7,0459,125.104077,46.589503,东风路19号
白城市,7,0436,122.838028,45.620156,文化东路1号
松原市,7,0438,124.825324,45.141904,沿江东路339号
长春市,8,0431,125.325746,43.896945,新发路329号
延边朝鲜族自治州,7,0433,128.232131,43.372642,民主街道新华西路1001-2号
吉林市,8,0432,126.54969,43.838138,松江中路65号
四平市,7,0434,124.350604,43.166699,市府路59号
白山市,7,0439,126.414730,41.943972,翠柏路1号
沈阳市,8,024,123.431367,41.836004,北陵大街45-22号
阜新市,7,0418,121.670049,42.02202,中华路45号
铁岭市,8,024,123.842411,42.286519,工人街市府路15号
呼伦贝尔市,7,0470,119.736176,49.212188,广场路1号
兴安盟,7,0482,122.093123,46.072731,育才南路
锡林郭勒盟,7,0479,116.086029,43.933403,中央大街市委楼
通辽市,7,0475,122.243265,43.65356,阿古拉大街门达路交汇处
海西蒙古族藏族自治州,7,0977,94.92825,36.407224,昆仑中路43号
西宁市,7,0971,101.780423,36.621096,西大街12号省政府院内东二楼
海北藏族自治州,7,0970,101.611387,37.387828,[]
海南藏族自治州,7,0974,101.433391,36.040166,迎宾东路89号
海东地区,0,,,
黄南藏族自治州,7,0973,102.040094,35.943253,铁岭路
玉树藏族自治州,7,0976,97.00917,32.992928,商业巷与结古大道交叉口东北200米
果洛藏族自治州,7,0975,100.245161,34.472179,团结路310号
甘孜藏族自治州,7,0836,101.956504,29.998708,茶马路1号3层
德阳市,7,0838,104.397839,31.127438,长江西路一段37号
成都市,8,028,104.066139,30.572972,锦悦西路2号
雅安市,7,0835,103.041562,30.010092,正和路1号
眉山市,8,028,103.848425,30.077037,眉州大道西一段2号
自贡市,7,0813,104.779112,29.339171,丹桂大街443号
乐山市,7,0833,103.766074,29.552293,滨河路98号
凉山彝族自治州,7,0834,102.264483,27.894659,大水井12号
攀枝花市,7,0812,101.718497,26.582432,炳草岗大街2号
和田地区,7,0903,79.913534,37.112148,乌鲁木齐北路1号
喀什地区,7,0998,75.993771,39.468072,人民东路55号
克孜勒苏柯尔克孜自治州,7,0908,76.168400,39.716160,帕米尔路东3院
阿克苏地区,7,0997,80.290830,41.184978,迎宾路(原阿克苏市公安局大楼)
巴音郭楞蒙古自治州,7,0996,86.174633,41.725891,新城街道延安路
博尔塔拉蒙古自治州,7,0909,82.051433,44.853882,前程路1号
吐鲁番地区,7,0995,89.189544,42.951238,绿洲东路495号
伊犁哈萨克自治州,7,0992,84.903266,44.426529,团结广场1号
哈密地区,0,,,
乌鲁木齐市,7,0991,87.628579,43.793301,中山路2号
昌吉回族自治州,7,0994,87.953566,44.164602,新运路1000号
塔城地区,7,0901,82.986923,46.751669,塔城市政府大楼C区
克拉玛依市,7,0990,84.889272,45.577748,迎宾路60号
阿勒泰地区,7,0906,88.131841,47.827308,团结路20号向北300米路西
山南地区,0,,,
林芝地区,7,0894,94.361639,29.648629,广福大道18号
昌都地区,7,0895,97.170415,31.142889,昌都西路24号
拉萨市,7,0891,91.171961,29.653482,纳金街道江苏大道69号
那曲地区,7,0896,92.073453,31.468454,那曲镇
日喀则地区,7,0892,88.880425,29.266829,山东路39号
阿里地区,7,0897,80.096417,32.491488,狄三路9附近
昆明市,8,0871,102.710323,25.046119,华山南路78号
楚雄彝族自治州,7,0878,101.545840,25.032917,鹿城南路148号
玉溪市,7,0877,102.52712,24.347114,秀山西路7号保安大厦13-18层
红河哈尼族彝族自治州,7,0873,103.766196,24.532024,人民路8号
普洱市,7,0879,100.966206,22.825166,[]
西双版纳傣族自治州,7,0691,100.799602,22.011747,嘎兰中路53号
临沧市,7,0883,100.088837,23.884175,世纪路350号
大理白族自治州,7,0872,100.301268,25.678079,行政中心
保山市,7,0875,99.161481,25.112012,兰城街道同仁路26号
怒江傈僳族自治州,0,,,
丽江市,7,0888,100.226650,26.854841,祥和街道玉雪大道262号
